time_ns,time_s,q0,q1,q2,q3,q4,q5
1778147913056339634,1778147913.0563397,-2.268569294606344,-0.9850917619517823,-1.915696382522583,-1.2381583017161866,1.0176002979278564,0.7405669093132019
1778147913076230293,1778147913.0762305,-2.268528763447897,-0.9850834173015137,-1.9156317710876465,-1.2381783586791535,1.0175760984420776,0.7405627965927124
1778147913096232213,1778147913.0962324,-2.26854116121401,-0.9850834173015137,-1.9156802892684937,-1.2381866735270997,1.0175925493240356,0.7405829429626465
1778147913116235547,1778147913.1162357,-2.268496815358297,-0.9850793045810242,-1.915676474571228,-1.2382062834552308,1.0176080465316772,0.7405306696891785
1778147913136373576,1778147913.1363735,-2.26854116121401,-0.985050694351532,-1.9156681299209595,-1.2381980580142518,1.0175725221633911,0.7405509352684021
1778147913156292687,1778147913.1562927,-2.2684763113604944,-0.9850793045810242,-1.9156639575958252,-1.2382062834552308,1.0176045894622803,0.7406071424484253
1778147913176300626,1778147913.1763008,-2.268512550984518,-0.9851113718799134,-1.9156438112258911,-1.2381700438312073,1.017616868019104,0.7405140995979309
1778147913196415537,1778147913.1964157,-2.268528763447897,-0.9850912255099793,-1.9156520366668701,-1.2381742161563416,1.017661452293396,0.740546703338623
1778147913216322931,1778147913.216323,-2.2685330549823206,-0.9851364654353638,-1.9156639575958252,-1.2381986242583771,1.017641305923462,0.7405911684036255
1778147913236473975,1778147913.236474,-2.2685087362872522,-0.985091821556427,-1.9156639575958252,-1.2381575566581269,1.017649531364441,0.7405747771263123
1778147913256402163,1778147913.2564023,-2.268512550984518,-0.9850666683963318,-1.915655493736267,-1.2381659311107178,1.0176080465316772,0.7405669093132019
