time_ns,time_s,qd0,qd1,qd2,qd3,qd4,qd5
1778147628594153484,1778147628.5941536,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628616467162,1778147628.6164672,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628633922547,1778147628.6339226,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628654054742,1778147628.6540549,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628673864471,1778147628.6738646,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628693892916,1778147628.693893,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628713809471,1778147628.7138095,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628733988296,1778147628.7339885,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628753752404,1778147628.7537525,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147628774022399,1778147628.7740226,0.0,-0.0,-0.0,0.0,0.0,0.0
