time_ns,time_s,x,y,z,rx,ry,rz
1778147018605736060,1778147018.605736,-0.40749414535028755,-0.033908810242175555,0.809255181135169,-1.8082314597718592,-1.7490584975588659,0.7558316072902871
1778147018625687345,1778147018.6256874,-0.40752517898347074,-0.0339576696169541,0.8091864433616881,-1.8082263893606398,-1.7492033048435802,0.7557149723630117
1778147018645673703,1778147018.6456738,-0.407491075174193,-0.03391580519857728,0.8092243270443402,-1.8082806564663214,-1.749104727386603,0.7558638104267985
1778147018666183440,1778147018.6661835,-0.4075012604201764,-0.033917282508034004,0.809183253777449,-1.8082568384525588,-1.7491518249626778,0.7557085359391612
1778147018686911087,1778147018.686911,-0.40751019868252014,-0.03392585493544815,0.8091827755522615,-1.8082847045852812,-1.74914728060787,0.7557189321331399
1778147018705932198,1778147018.7059324,-0.4075051461412502,-0.03391367117121394,0.8091725136789352,-1.8083539230712857,-1.7490883345693125,0.755734664466006
1778147018726770122,1778147018.7267704,-0.4075166923334436,-0.033944534838853214,0.8091699438965848,-1.808276591589267,-1.7491845008324716,0.7557295220776633
1778147018745713327,1778147018.7457135,-0.40750006582062853,-0.033916171757914074,0.8092371447155966,-1.8082480188036367,-1.7490780309725549,0.7558025697337157
1778147018765744084,1778147018.7657442,-0.4074971315012241,-0.033929278511540165,0.8091965647730472,-1.8082798307936678,-1.7491233225606175,0.7558105550010451
1778147018785713270,1778147018.7857132,-0.40747542114932456,-0.03391227040114962,0.8092638020268398,-1.8082410567771754,-1.7491056903763886,0.7559607663974024
1778147018805788280,1778147018.8057883,-0.40749492389945535,-0.03390319607717369,0.8092272430428761,-1.8082827201739777,-1.7490610481196596,0.7558397502367327
1778147018825782142,1778147018.825782,-0.40749711090330687,-0.03392742204241191,0.8092048106290518,-1.8083091517906942,-1.7491081402568411,0.7558268548174544
1778147018845874051,1778147018.8458743,-0.40750886101931466,-0.03393341123853876,0.8092043398345564,-1.8082340100863583,-1.7491188660131562,0.7557770209085523
1778147018865637950,1778147018.865638,-0.4075200405669479,-0.03394678847894551,0.8092009301106832,-1.8082402198806256,-1.7492174088152097,0.7557551910630544
1778147018885751036,1778147018.8857512,-0.40750384378644944,-0.03391544551984919,0.8091933919452061,-1.8083030254899597,-1.7491117605651114,0.7557716003806639
1778147018905728475,1778147018.9057286,-0.40751468672313085,-0.033921399095934994,0.809184604798157,-1.8083111852722096,-1.749071508646376,0.7557408489291972
1778147018925719102,1778147018.9257193,-0.4075135931286784,-0.03392639052133242,0.8091861680404553,-1.8083037422389716,-1.749089790999491,0.7557433144135753
1778147018945709494,1778147018.9457097,-0.4075068415103361,-0.03392198934702975,0.8092407936613923,-1.8082823985198975,-1.7490207879048059,0.7558614478720189
1778147018965699182,1778147018.9656992,-0.4074895889733956,-0.03391623775101764,0.8092154587857694,-1.8082861746611123,-1.7491220360656567,0.7558040209469481
1778147018985822311,1778147018.9858222,-0.4075027091452784,-0.0339364561075344,0.8092270310125438,-1.8082409338066334,-1.7491957129147704,0.7558240315961727
1778147019009803792,1778147019.0098038,-0.40750904679599814,-0.03393706047150187,0.8092206426294557,-1.8082236642556626,-1.7491304667991754,0.7557787687744386
1778147019025845123,1778147019.0258453,-0.4074950833746731,-0.03393114703747826,0.8092114020445026,-1.8082493304095948,-1.7492085703275697,0.7557987862034328
1778147019045761642,1778147019.0457616,-0.4075060840535092,-0.03393020261962651,0.8092022312857431,-1.8082715721609797,-1.7491620749917178,0.755764776495987
1778147019065762286,1778147019.0657625,-0.40750884913540786,-0.03392529097291557,0.8091973843334804,-1.8082777152253915,-1.7490726209385696,0.755746315416158
1778147019085775294,1778147019.0857754,-0.40748921430514123,-0.033915966924942406,0.8092314414720677,-1.8082202310530107,-1.7491108351182136,0.7558161850021262
1778147019105769204,1778147019.1057694,-0.407477142638424,-0.03390104187195539,0.809226607267241,-1.8082420370431325,-1.749113535499091,0.7558657130270593
1778147019125964988,1778147019.125965,-0.4075077215162197,-0.03392756496474681,0.8092027853728908,-1.8082661863166676,-1.7491615441408717,0.7556989276627271
1778147019145776875,1778147019.145777,-0.407502611869612,-0.03390519012107895,0.809208123709986,-1.8082790983406982,-1.7490538439808876,0.7557854536511577
1778147019165751194,1778147019.1657515,-0.40748941823139806,-0.03390967072394522,0.8092423576167379,-1.8082657185111892,-1.7490695863781258,0.7558298520174146
1778147019185708002,1778147019.185708,-0.40749796333661537,-0.03392315069265359,0.809205245642711,-1.808264936905883,-1.7491298012149785,0.7558230089031915
1778147019205707366,1778147019.2057073,-0.4075028610528266,-0.03391634014396825,0.8092438587175157,-1.8082357740367656,-1.7490546154293032,0.7558790016694988
1778147019225741635,1778147019.2257416,-0.40749379573483546,-0.0339174216193962,0.809202492089719,-1.8083035309840418,-1.7491166821578892,0.7557804916207922
1778147019245755992,1778147019.245756,-0.4075108997638556,-0.03391544845967205,0.80919729526028,-1.8082755090899008,-1.7490865803218665,0.755748556346817
1778147019265903795,1778147019.265904,-0.407480512626102,-0.033900593713715295,0.80920589428236,-1.8083113761862593,-1.749105041839142,0.7558017422559632
1778147019288451031,1778147019.2884512,-0.4074989073445453,-0.033939614497435516,0.8091973577016353,-1.8082660499008958,-1.7492090475546607,0.7557750081089037
1778147019305815686,1778147019.305816,-0.4075028674068251,-0.03391359281740086,0.8092148753134323,-1.808282780234474,-1.749052883123781,0.7558042724022491
1778147019325759927,1778147019.3257601,-0.4074964347625471,-0.033905664844700575,0.8091992976149454,-1.80827597347464,-1.7490644042049965,0.7557871270875706
1778147019345869099,1778147019.345869,-0.4075280666310711,-0.033925290946341544,0.8092044120385306,-1.8082816405526816,-1.749082039264023,0.7557133306933149
1778147019365751560,1778147019.3657517,-0.40750348421582266,-0.03393290722443815,0.8092158492390573,-1.8082411271373968,-1.7491431656040881,0.7558194578861727
1778147019385701120,1778147019.3857012,-0.4074985818021684,-0.03392479123087347,0.8091679561425686,-1.8083066170327773,-1.7491640253492633,0.7557560986828407
