time_ns,time_s,fx,fy,fz,tx,ty,tz
1778147818120445198,1778147818.1204453,0.007395139886515523,0.11114690450801558,-0.35273512919435407,-0.08231055699203083,-0.010090059420607884,-0.08555361009509396
1778147818140423940,1778147818.140424,0.31106734658016166,0.1807552019059054,-0.47089794520729533,-0.07997960381465495,0.007150820099095034,-0.08646277491919974
1778147818160310305,1778147818.1603103,-0.1986636511162045,-0.33866939278394576,0.036687835350688036,-0.0724474220430291,-0.023023347044181984,-0.1006596131143945
1778147818180677646,1778147818.1806777,-0.10481705871825933,0.8721437399509472,-0.31043048458447453,-0.08893986035167607,-0.013828191977101938,-0.07846718050259191
1778147818202779672,1778147818.2027798,0.15048218731016372,0.41156748791362413,-0.596726714793894,-0.0798391304627751,-0.008247866337191143,-0.07704073910432492
1778147818220461259,1778147818.2204614,0.3695216169917414,0.38328954344591787,-0.6316557476422751,-0.0769184798134018,0.0037979365195798024,-0.06915961280695813
1778147818240375422,1778147818.2403755,-0.05119572827697279,0.5294681944744829,-0.2344272925141282,-0.08683460802525836,-0.01987174257536399,-0.07747331674657243
1778147818260398630,1778147818.2603986,0.48895062622160335,0.2932391544125463,-0.529141320883687,-0.0752912272834731,-0.0005629671583647338,-0.09418066841756499
1778147818280428314,1778147818.2804284,-0.26203275660169234,-0.23675785756644563,-0.3583327803983739,-0.08442182496951328,-0.01135476051659317,-0.10402581195807592
1778147818300390542,1778147818.3003907,-0.1343631533825728,-0.08582085844129446,-0.14717914316349429,-0.08175886586791908,-0.016452821883816766,-0.09718467894032731
1778147818320506110,1778147818.3205063,0.021901684569772595,-0.45850570316848305,-0.42871421570989243,-0.07787609875850411,-0.0069971706144231136,-0.11079943524916808
1778147818340406960,1778147818.3404071,-0.14369350566269476,0.10929719273349335,-0.1800723574992464,-0.07248842686523989,-0.01551014100658647,-0.08466982083678755
1778147818360495973,1778147818.360496,0.3037375891042099,0.3534523605590814,-0.4120824940773522,-0.086585835742112,-0.004623046140784253,-0.08520659680490249
1778147818380368180,1778147818.3803682,-0.31968725871555603,0.024819508425564296,-0.15773287348162937,-0.07336395054618858,-0.014743701421144255,-0.08829465515926088
1778147818400513343,1778147818.4005134,-0.48589942364578165,-0.07330090078150271,-0.058719148110266406,-0.06708911213093467,-0.02420266906276549,-0.07956248325785494
1778147818420342393,1778147818.4203424,0.1727123650264358,-0.3632398198297187,-0.16491044595945073,-0.06803071536816543,-0.004488178749786726,-0.09621836693120518
1778147818440422645,1778147818.4404228,0.05200386948700774,-0.25883552366943446,-0.052784641093223936,-0.06977115992964804,-0.01489567901572931,-0.09376464777928911
1778147818460400719,1778147818.4604008,0.041101305861378765,-0.03702671421221301,-0.05431091692146875,-0.07130913132830097,-0.018021476450807317,-0.08075210982544508
1778147818480463493,1778147818.4804637,0.2820123440247375,0.3564906595860239,-0.15751494111762965,-0.07979964686620679,-0.00559689903229635,-0.07838059304524657
1778147818500494136,1778147818.5004942,0.22858886323013994,-0.12646286396117212,-0.33171469419656996,-0.07410342775680534,-0.009028801698038916,-0.09668954488602115
1778147818520772608,1778147818.5207727,0.21618023428093827,0.0556027370247658,-0.2876973261947836,-0.08074627611119205,-0.008002782137598127,-0.07737448458305964
1778147818540491300,1778147818.5404913,-0.015213670473773627,0.25904545699761045,0.030947072410581915,-0.07320327701486969,-0.01181701209676901,-0.07948320419289351
1778147818560497849,1778147818.560498,-0.07160280433171484,0.4407831477612548,0.19168294343799636,-0.0787980349269073,-0.021705681147063473,-0.07627510670941895
1778147818580510752,1778147818.5805109,0.22241518962823129,0.17760874207766802,-0.21777885267415284,-0.08532665935175104,-0.011774870041076163,-0.09041220855709117
1778147818600511879,1778147818.600512,0.14499488476141,0.25241904228347645,-0.6139466484492546,-0.08360393904379036,-0.006264992989419843,-0.08417925579223128
1778147818623478678,1778147818.623479,0.3343913881303707,-0.04051556883028054,-0.23512574044815268,-0.08525461529783607,0.0019198171830978397,-0.09209670315486497
1778147818640612655,1778147818.6406126,0.2829785537053178,-0.16819719678974782,-0.4412221599411933,-0.07793546154323464,0.0011492453824662,-0.08749603630118528
1778147818660458780,1778147818.6604588,0.21606027735164815,0.12376696003350966,-0.15709073551991293,-0.07084803723678074,-0.007919023925158206,-0.08581846251759045
1778147818680407247,1778147818.6804075,0.07515139134210366,-0.6987344697441031,-0.14501836776976315,-0.06539480087563976,-0.017362188469506695,-0.10215377866728781
1778147818700416979,1778147818.700417,-0.1602629331147341,-0.25767556241903067,0.2963864833270754,-0.06492500949501807,-0.024792667912674374,-0.09451450775631996
1778147818720526283,1778147818.7205265,0.3486847430967676,0.18508173298470137,-0.15963898399261967,-0.07788271197000085,-0.006989895588372794,-0.0702275003508156
1778147818740459683,1778147818.74046,0.31627343104764255,-0.08703756346548229,-0.23430773328099766,-0.07185744031300208,-0.005254352849034232,-0.08907976224301838
1778147818760352483,1778147818.7603526,0.4402326029846712,-0.29915168117183105,-0.25852007438103275,-0.06724603703314842,-0.004626390117595396,-0.08994457423674719
1778147818780564881,1778147818.780565,-0.10845091903107712,-0.9369401998513354,-0.10865824941223368,-0.06017122847267271,-0.01146239906254938,-0.09532192873970738
1778147818801350247,1778147818.8013504,0.18680000208897196,-0.13831139010519458,-0.5367624978821303,-0.08034331551422932,0.010967014667439379,-0.09719517204389194
1778147818820428138,1778147818.8204281,0.05620509879920149,-0.08707875993505218,-0.25257026550110395,-0.0696192040516922,-0.008473010214959874,-0.08835059621387092
1778147818840536266,1778147818.8405364,0.5304702333766376,-0.2835268462945929,-0.5474176168463436,-0.07285597062078973,0.007751008428597788,-0.10215997760872156
1778147818860412705,1778147818.8604128,0.2127740737025309,-0.832718506165302,-0.17204640525619286,-0.061405067423211265,-0.0005315438945833789,-0.10212570691247018
1778147818880483863,1778147818.8804839,0.4264068697243327,-0.7262155615410422,-0.45015046520743796,-0.06958999063897973,0.007663934181809055,-0.09796429400891872
1778147818900505047,1778147818.9005053,0.06881054718350273,0.0320594850404343,0.11012958496768563,-0.08099576932372311,-0.01695980627615068,-0.09272998074059324
